year,CTY_CODE,CTYNAME,I_1,IYR,E_1,EYR
2007,2430,Turks and Caicos Islands,0.755097,12.878882,32.954319,395.783826
2008,2430,Turks and Caicos Islands,0.401222,10.312889,31.080699,434.413482
2009,2430,Turks and Caicos Islands,0.822586,10.643166,29.142922,247.865657
2010,2430,Turks and Caicos Islands,0.481465,11.702487,19.06537,189.434305
2011,2430,Turks and Caicos Islands,0.927424,9.33446,11.76716,204.965312
2012,2430,Turks and Caicos Islands,0.761363,9.470333,16.989067,209.629392
2013,2430,Turks and Caicos Islands,0.686292,3.266091,17.213147,109.495039
2001,2440,Cayman Islands,0.1,6.8,25.9,261.8
2002,2440,Cayman Islands,0.4,8.8,16.3,231.6
2003,2440,Cayman Islands,1.101886,11.777048,25.438648,309.183856
2004,2440,Cayman Islands,0.619935,13.131085,27.215714,399.929021
2005,2440,Cayman Islands,0.919886,53.497875,53.529118,680.670387
2006,2440,Cayman Islands,1.561504,14.87036,54.335221,631.688819
2007,2440,Cayman Islands,4.181234,21.402499,43.555275,640.184709
2008,2440,Cayman Islands,0.607228,14.01152,56.561746,745.896003
2009,2440,Cayman Islands,1.433212,13.576016,55.277092,643.342674
2010,2440,Cayman Islands,0.599687,11.119266,50.357539,581.661967
2011,2440,Cayman Islands,0.750699,18.506138,48.373944,616.434802
2012,2440,Cayman Islands,0.826176,15.050708,54.125588,667.589219
2013,2440,Cayman Islands,4.805534,19.97319,45.391578,324.483252
2001,2450,Haiti,17.7,263.2,39.3,550.4
2002,2450,Haiti,13.9,255.2,34.3,573.2
2003,2450,Haiti,16.214502,332.340309,56.479105,639.440583
2004,2450,Haiti,17.768909,370.68072,58.440184,672.978156
2005,2450,Haiti,21.040946,447.217315,45.521939,709.620597
2006,2450,Haiti,23.111432,496.11098,66.634064,817.367312
2007,2450,Haiti,26.152208,487.767116,54.134949,680.18806
2008,2450,Haiti,18.96703,450.082545,49.611037,943.991127
2009,2450,Haiti,20.897777,552.090736,47.427666,790.406627
2010,2450,Haiti,6.401135,550.910491,80.661141,1208.576616
2011,2450,Haiti,34.478233,742.179942,86.120476,1058.999962
2012,2450,Haiti,34.378523,774.736792,67.110176,1050.174125
2013,2450,Haiti,46.279035,410.00444,88.183823,639.685907
2001,2470,Dominican Republic,252,4183.4,339.7,4397.4
2002,2470,Dominican Republic,194.5,4168.8,314.3,4250.1
2003,2470,Dominican Republic,225.669461,4455.230348,360.408334,4205.449031
2004,2470,Dominican Republic,238.556311,4527.099908,307.866127,4358.279476
2005,2470,Dominican Republic,235.433734,4603.684143,338.540265,4718.733392
2006,2470,Dominican Republic,273.77511,4532.378534,381.713154,5350.539554
2007,2470,Dominican Republic,242.813564,4215.643656,419.314182,6084.052712
2008,2470,Dominican Republic,246.709465,3977.827623,516.855638,6594.369844
2009,2470,Dominican Republic,185.989638,3329.451899,450.557011,5268.819948
2010,2470,Dominican Republic,183.301486,3671.724506,466.906573,6579.238536
2011,2470,Dominican Republic,223.151344,4198.735888,563.046783,7317.692848
2012,2470,Dominican Republic,267.584205,4365.006548,465.855785,6973.626685
2013,2470,Dominican Republic,276.272418,2073.442185,546.563551,3624.133365
2001,2481,Anguilla,0,1.7,1.6,20.1
2002,2481,Anguilla,0,0.9,1.8,19.9
2003,2481,Anguilla,0.03152,1.283527,1.762725,21.489983
2004,2481,Anguilla,0.082309,0.888108,1.225754,20.783691
2005,2481,Anguilla,0.045504,3.754737,2.471855,32.186758
2006,2481,Anguilla,0.028952,4.188938,2.368869,43.139388
2007,2481,Anguilla,0.440031,4.589017,3.126303,92.54443
2008,2481,Anguilla,0.241894,4.336094,4.699842,81.032495
2009,2481,Anguilla,0.339494,5.745072,8.181157,52.914578
2010,2481,Anguilla,0.145726,2.546333,2.660965,35.575958
2011,2481,Anguilla,0.330284,4.83162,2.036084,31.193536
2012,2481,Anguilla,0.280854,3.574428,2.458063,27.414434
2013,2481,Anguilla,0.312238,2.301268,1.975878,15.528869
2001,2482,British Virgin Islands,0.7,11.9,5.6,74.6
2002,2482,British Virgin Islands,7.8,40.5,5.1,67.3
2003,2482,British Virgin Islands,2.197849,35.018897,6.428763,71.061918
2004,2482,British Virgin Islands,1.416589,17.409404,10.158729,96.725831
2005,2482,British Virgin Islands,15.8699,33.579607,6.28426,124.856685
2006,2482,British Virgin Islands,7.048673,25.885608,8.994777,215.003633
2007,2482,British Virgin Islands,0.367547,43.059852,10.994198,176.177065
2008,2482,British Virgin Islands,0.441871,10.754411,16.319446,309.884797
2009,2482,British Virgin Islands,0.509756,6.04192,55.207485,232.953888
2010,2482,British Virgin Islands,9.875348,19.032108,11.257992,145.778454
2011,2482,British Virgin Islands,0.261893,6.334475,10.277454,151.339842
2012,2482,British Virgin Islands,0.464445,12.898705,11.265063,171.618736
2013,2482,British Virgin Islands,0.364946,3.373632,14.60622,104.4325
2001,2483,St Kitts and Nevis,3.4,41.3,4.3,46.3
2002,2483,St Kitts and Nevis,2.9,48.6,3.3,49.5
2003,2483,St Kitts and Nevis,4.077702,44.588474,4.437763,58.76779
2004,2483,St Kitts and Nevis,3.14773,41.709253,5.583487,60.326577
2005,2483,St Kitts and Nevis,3.509925,49.718541,5.543264,94.069439
2006,2483,St Kitts and Nevis,3.077059,50.069677,10.391426,127.215672
2007,2483,St Kitts and Nevis,3.951022,53.553766,8.122212,110.676625
2008,2483,St Kitts and Nevis,4.432578,54.385127,10.936621,123.894416
2009,2483,St Kitts and Nevis,3.31031,48.41288,8.457842,108.056908
2010,2483,St Kitts and Nevis,2.480722,50.610721,8.156068,131.030912
2011,2483,St Kitts and Nevis,3.069681,54.70871,8.0238,115.840327
2012,2483,St Kitts and Nevis,4.243155,56.82577,7.012983,106.319324
2013,2483,St Kitts and Nevis,3.401011,27.665393,10.755162,58.787137
2001,2484,Antigua and Barbuda,0.1,3.7,12.4,95.7
2002,2484,Antigua and Barbuda,0.1,3.4,5.1,81.4
2003,2484,Antigua and Barbuda,0.263177,12.767458,9.943052,127.313765
2004,2484,Antigua and Barbuda,0.292094,4.366441,8.462363,125.745287
2005,2484,Antigua and Barbuda,0.454007,4.414365,24.634214,190.447421
2006,2484,Antigua and Barbuda,0.461054,5.77084,23.781045,193.606251
2007,2484,Antigua and Barbuda,1.010899,8.735511,21.74501,240.400286
2008,2484,Antigua and Barbuda,0.433642,4.867521,15.246774,182.521043
2009,2484,Antigua and Barbuda,1.683332,9.333195,13.879583,156.889923
2010,2484,Antigua and Barbuda,0.476489,5.491328,11.954163,158.339672
2011,2484,Antigua and Barbuda,0.371918,6.581579,8.940379,154.739925
2012,2484,Antigua and Barbuda,1.402097,9.640118,13.6812,204.645015
2013,2484,Antigua and Barbuda,1.420217,5.59652,13.496234,66.795867
2001,2485,Montserrat,0,0.2,0.3,6
2002,2485,Montserrat,0,0.3,0.4,5.1
2003,2485,Montserrat,0.10477,1.323459,0.321062,7.944685
2004,2485,Montserrat,0.093415,0.458994,0.658452,6.057004
2005,2485,Montserrat,0.014777,0.953906,0.276207,4.848606
2006,2485,Montserrat,0.287877,0.792966,0.470086,14.377481
2007,2485,Montserrat,0.00092,0.553644,0.274372,4.774256
2008,2485,Montserrat,0.019949,0.229826,0.268593,8.564674
2009,2485,Montserrat,0.075924,0.869051,0.779854,5.883151
2010,2485,Montserrat,0.000114,0.514359,0.54184,4.746579
2011,2485,Montserrat,0.088367,0.608342,0.226076,6.903084
2012,2485,Montserrat,0.201582,1.841161,0.391158,8.562625
2013,2485,Montserrat,0.048076,0.272822,0.496636,4.221296
2001,2486,Dominica,0.3,5.2,4,30.5
2002,2486,Dominica,1.3,4.7,2.4,45
2003,2486,Dominica,0.136007,5.252308,3.282211,34.331509
2004,2486,Dominica,0.424852,2.882554,2.349691,35.989168
2005,2486,Dominica,0.294196,3.344243,3.78991,61.540001
2006,2486,Dominica,0.917433,3.148318,3.041701,67.998163
2007,2486,Dominica,0.113146,1.757969,6.665935,83.832387
2008,2486,Dominica,0.300376,2.356831,7.114348,105.399066
2009,2486,Dominica,0.203275,2.754139,5.406948,76.601184
2010,2486,Dominica,0.311719,1.595534,5.332542,72.84363
2011,2486,Dominica,0.368569,1.873524,4.014383,73.63737
2012,2486,Dominica,0.084854,1.744607,5.150265,78.940914
2013,2486,Dominica,0.497825,1.211026,4.081634,31.846731
2001,2487,St Lucia,1.3,28.7,7.2,86.7
2002,2487,St Lucia,1.2,19.3,5.5,99.4
2003,2487,St Lucia,0.974064,12.998687,9.590286,119.544308
2004,2487,St Lucia,0.88452,14.280979,6.791448,105.297266
2005,2487,St Lucia,0.905983,32.396909,9.375491,135.389135
2006,2487,St Lucia,15.72255,30.093659,7.51326,149.06114
2007,2487,St Lucia,1.365442,33.389382,11.308803,165.252471
2008,2487,St Lucia,1.377741,25.977693,86.5643,241.02503
2009,2487,St Lucia,1.172664,17.536856,9.284525,136.219773
2010,2487,St Lucia,1.331763,17.839919,31.78686,401.530949
2011,2487,St Lucia,1.501638,17.981919,17.275713,315.619943
2012,2487,St Lucia,1.577843,15.187839,67.656343,377.121147
2013,2487,St Lucia,0.795593,7.767005,34.992148,261.627718
2001,2488,St Vincent and the Grenadines,0.1,22.5,2.5,38.7
2002,2488,St Vincent and the Grenadines,1.1,16.6,3.5,40.4
2003,2488,St Vincent and the Grenadines,1.400167,4.142062,5.16278,46.216288
2004,2488,St Vincent and the Grenadines,0.195289,4.124516,3.89089,45.462339
2005,2488,St Vincent and the Grenadines,0.219694,15.650342,3.091339,45.411401
2006,2488,St Vincent and the Grenadines,0.033785,2.023811,4.130131,58.326805
2007,2488,St Vincent and the Grenadines,0.045062,1.246611,5.13789,68.952798
2008,2488,St Vincent and the Grenadines,0.015439,0.952953,4.064039,82.692856
2009,2488,St Vincent and the Grenadines,0.132583,1.179723,5.954946,74.851479
2010,2488,St Vincent and the Grenadines,0.151941,1.779259,6.475587,85.970257
2011,2488,St Vincent and the Grenadines,0.125966,1.939029,4.037144,80.511098
2012,2488,St Vincent and the Grenadines,0.28576,2.330278,7.784978,98.737927
2013,2488,St Vincent and the Grenadines,0.168334,1.012328,7.798547,43.043638
2001,2489,Grenada,2.3,24.1,3.9,59.9
2002,2489,Grenada,0.4,6.8,4.2,56.4
2003,2489,Grenada,0.22078,7.601847,4.795239,68.420456
2004,2489,Grenada,0.395518,5.101053,4.438486,70.103374
2005,2489,Grenada,0.36468,5.852881,5.334395,82.440305
2006,2489,Grenada,0.339449,4.467434,4.468239,74.178148
2007,2489,Grenada,0.257858,8.206011,6.434945,83.264328
2008,2489,Grenada,0.25179,7.272382,5.665551,84.43713
2009,2489,Grenada,0.196151,5.753262,4.391626,59.211758
2010,2489,Grenada,0.255395,7.703868,5.128449,71.243438
2011,2489,Grenada,0.164329,6.725081,3.278042,81.81776
2012,2489,Grenada,0.156255,8.389248,3.656359,72.188327
2013,2489,Grenada,0.275227,5.903739,5.569002,33.542765
2001,2720,Barbados,3.4,39.6,22.5,286.6
2002,2720,Barbados,2.1,34.4,19.4,267.6
2003,2720,Barbados,1.901525,43.427887,26.492885,300.095183
2004,2720,Barbados,1.542183,36.882333,26.878862,348.431894
2005,2720,Barbados,2.300468,31.903789,28.621567,394.92009
2006,2720,Barbados,2.844502,33.858237,30.396579,442.486478
2007,2720,Barbados,2.686977,38.224494,32.311704,456.986883
2008,2720,Barbados,3.481842,40.43147,32.513608,497.390029
2009,2720,Barbados,2.231404,32.755594,30.401738,404.773424
2010,2720,Barbados,2.891999,42.813787,29.416182,397.391831
2011,2720,Barbados,4.306062,46.467359,29.802843,439.376136
2012,2720,Barbados,4.291066,54.13358,31.922435,458.304598
2013,2720,Barbados,4.291267,26.231942,40.244221,219.802849
2001,2740,Trinidad and Tobago,274.2,2380.1,68.4,1087.2
2002,2740,Trinidad and Tobago,131.3,2440.2,64.5,1020.4
2003,2740,Trinidad and Tobago,310.453917,4333.753098,73.857951,1063.297413
2004,2740,Trinidad and Tobago,459.570515,5842.074741,100.932397,1207.578238
2005,2740,Trinidad and Tobago,544.7239,7890.88378,87.211248,1416.748479
2006,2740,Trinidad and Tobago,814.050211,8362.389038,111.794664,1614.598036
2007,2740,Trinidad and Tobago,694.728944,8789.605945,138.695647,1779.841581
2008,2740,Trinidad and Tobago,867.876212,9030.310974,151.821504,2250.213184
2009,2740,Trinidad and Tobago,394.393959,5180.155507,196.346652,1988.348722
2010,2740,Trinidad and Tobago,623.501723,6613.277597,135.503379,1924.931875
2011,2740,Trinidad and Tobago,590.701584,8112.990551,128.246158,2183.211885
2012,2740,Trinidad and Tobago,809.892864,8158.378198,211.257551,2477.658847
2013,2740,Trinidad and Tobago,651.091523,3442.451686,161.891213,1150.802364
2001,2771,Netherlands Antilles,61.4,484.5,69.1,816.5
2002,2771,Netherlands Antilles,28.8,361.9,68.5,741.6
2003,2771,Netherlands Antilles,78.198724,631.46994,54.893385,746.857272
2004,2771,Netherlands Antilles,21.825377,434.579607,58.585492,824.200356
2005,2771,Netherlands Antilles,48.955045,922.413941,87.063005,1137.633614
2006,2771,Netherlands Antilles,127.320345,1119.301627,111.328128,1485.065922
2007,2771,Netherlands Antilles,85.573334,781.853927,120.892315,2082.020131
2008,2771,Netherlands Antilles,139.279447,809.311163,272.778116,2951.625832
2009,2771,Netherlands Antilles,47.612538,475.840675,161.253289,2055.80998
2010,2771,Netherlands Antilles,57.219021,1026.183628,232.234611,2943.154831
2011,2771,Netherlands Antilles,162.787329,866.15276,355.220523,1187.004295
2011,2774,Sint Maarten,0,23.803009,0,398.052514
2012,2774,Sint Maarten,6.136117,54.968225,89.208477,705.46507
2013,2774,Sint Maarten,5.376529,29.20487,82.729622,447.180201
2011,2777,Curacao,0,557.820793,0,483.650469
2012,2777,Curacao,70.515997,850.195262,27.291166,692.2722
2013,2777,Curacao,65.39483,326.926529,29.665437,352.000034
2001,2779,Aruba,204.1,1034,24.4,276.6
2002,2779,Aruba,82,773.7,20.7,464.6
2003,2779,Aruba,54.564681,954.491937,42.301799,355.00913
2004,2779,Aruba,134.848092,1776.373462,20.922462,384.399551
2005,2779,Aruba,156.802755,2919.735672,36.961987,558.924451
2006,2779,Aruba,301.731745,2845.053832,65.04133,510.530936
2007,2779,Aruba,278.032804,2995.192708,51.61234,528.763861
2008,2779,Aruba,273.173946,3179.303327,39.204128,680.253631
2009,2779,Aruba,173.547793,1278.245242,48.017487,445.673618
2010,2779,Aruba,0.9474,19.460603,27.977448,540.475447
2011,2779,Aruba,48.82732,3261.601728,91.273488,712.959472
2012,2779,Aruba,180.33838,826.772869,46.748943,678.67251
2013,2779,Aruba,4.603817,25.431137,59.5011,355.129291
2001,2831,Guadeloupe,0.2,10.5,6.7,59
2002,2831,Guadeloupe,0.4,10.5,3.7,39.6
2003,2831,Guadeloupe,0.582286,2.795461,4.691314,45.65098
2004,2831,Guadeloupe,0.280278,3.147808,3.118577,38.206885
2005,2831,Guadeloupe,0.034983,2.128806,3.215706,54.512655
2006,2831,Guadeloupe,0.317389,2.506335,4.290494,64.986251
2007,2831,Guadeloupe,0.202982,4.884629,14.61301,139.085169
2008,2831,Guadeloupe,0.33489,7.026454,19.202025,383.935772
2009,2831,Guadeloupe,0.291853,1.82127,8.133105,205.820935
2010,2831,Guadeloupe,0.03853,2.331647,26.346615,364.529841
2011,2831,Guadeloupe,0.067702,1.495386,34.684369,430.940767
2012,2831,Guadeloupe,0.464502,12.07985,32.203352,502.520304
2013,2831,Guadeloupe,1.606386,4.183357,71.952883,367.182624
2001,2839,_3tinique,0.2,0.5,4.1,23.2
2002,2839,_3tinique,0,0.6,1.6,23.8
2003,2839,_3tinique,0.067557,0.56349,2.799784,21.686646
2004,2839,_3tinique,0.017626,1.726115,2.515369,28.094296
2005,2839,_3tinique,0.011312,22.236488,1.383681,34.95999
2006,2839,_3tinique,0.26764,41.498728,1.792726,32.425501
2007,2839,_3tinique,0.202915,7.437223,9.305167,193.908207
2008,2839,_3tinique,0.105502,7.683545,21.920092,288.848377
2009,2839,_3tinique,0.003619,5.01588,13.57378,263.426197
2010,2839,_3tinique,0.366621,23.104906,29.748857,296.799785
2011,2839,_3tinique,0.077672,8.016881,30.638436,339.595962
2012,2839,_3tinique,3.23515,26.2716,30.527752,370.668017
2013,2839,_3tinique,0.913332,9.190428,53.019215,222.815835
2001,3010,Colombia,615.9,5710.3,335.9,3583.2
2002,3010,Colombia,413.8,5604.4,271.3,3582.3
2003,3010,Colombia,526.302499,6385.065623,312.88759,3755.80901
2004,3010,Colombia,600.670076,7256.111634,360.745917,4504.994566
2005,3010,Colombia,630.758695,8849.380048,416.766183,5462.357164
2006,3010,Colombia,778.214229,9265.683816,460.557714,6708.603972
2007,3010,Colombia,736.297482,9433.58938,603.23023,8557.677097
2008,3010,Colombia,1065.543563,13093.2045,855.41499,11437.27046
2009,3010,Colombia,690.138717,11323.11738,709.059429,9451.459411
2010,3010,Colombia,1061.325184,15659.29784,896.212478,12067.66528
2011,3010,Colombia,1629.098884,23114.19648,1073.821817,14321.0694
2012,3010,Colombia,2015.63365,24619.79825,1182.80307,16354.88014
2013,3010,Colombia,1952.194288,11368.62519,1594.890929,8913.20236
2001,3070,Venezuela,1678.3,15250.4,461.3,5642.2
2002,3070,Venezuela,916.3,15093.6,374.2,4429.7
2003,3070,Venezuela,399.474686,17136.09409,120.835379,2830.974363
2004,3070,Venezuela,1764.850051,24920.56384,280.529606,4767.416082
2005,3070,Venezuela,2518.095071,33978.13481,513.295917,6420.897723
2006,3070,Venezuela,3140.60155,37133.8064,591.23791,9002.343708
2007,3070,Venezuela,2463.278621,39909.62933,696.446659,10200.50683
2008,3070,Venezuela,4224.855639,51423.62838,820.741795,12610.04101
2009,3070,Venezuela,2001.015733,28059.03391,881.089867,9315.456954
2010,3070,Venezuela,2222.112885,32707.38718,624.763222,10644.79591
2011,3070,Venezuela,3685.285991,43256.52208,814.735436,12357.56193
2012,3070,Venezuela,3224.633651,38723.81829,1162.682153,17516.23865
2013,3070,Venezuela,3408.896297,15763.6029,1436.576726,7099.986304
2001,3120,Guyana,12.1,140.4,9.8,141.3
2002,3120,Guyana,11.3,115.5,6.4,128.2
2003,3120,Guyana,10.168571,118.690162,8.823131,117.14819
2004,3120,Guyana,8.076382,122.398344,9.352258,138.411218
2005,3120,Guyana,8.814085,119.931261,11.045807,176.704601
2006,3120,Guyana,13.974754,125.296756,12.0187,179.440313
2007,3120,Guyana,6.860999,123.376969,14.412425,187.879827
2008,3120,Guyana,12.535806,145.829091,22.4472,288.518675
2009,3120,Guyana,9.85878,173.20547,14.415315,260.367286
2010,3120,Guyana,17.935574,298.628416,17.523213,290.703439
2011,3120,Guyana,25.458172,424.540486,21.983108,363.638357
2012,3120,Guyana,34.341479,522.872299,26.376629,359.795034
2013,3120,Guyana,48.287137,254.906659,26.236878,160.103033
2001,3150,Suriname,19.8,143,9.6,155.3
2002,3150,Suriname,13.4,132.6,12.6,125
2003,3150,Suriname,15.567007,140.063554,20.526042,192.654612
2004,3150,Suriname,14.37015,140.820225,15.93599,179.188616
2005,3150,Suriname,6.201474,165.346376,21.132773,245.701079
2006,3150,Suriname,11.528806,164.554838,20.551676,258.783296
2007,3150,Suriname,10.845439,129.550537,21.163224,303.625324
2008,3150,Suriname,8.200869,126.544505,34.70274,406.402258
2009,3150,Suriname,16.49351,138.98587,29.880729,380.392824
2010,3150,Suriname,10.747823,191.377702,17.527274,362.090799
2011,3150,Suriname,13.893524,301.585222,33.780881,432.882282
2012,3150,Suriname,28.155019,288.524031,30.83147,498.8292
2013,3150,Suriname,20.675839,151.767509,23.844145,223.493595
2001,3170,French Guiana,0.1,0.4,1.8,129.9
2002,3170,French Guiana,0,7.4,2.9,249.7
2003,3170,French Guiana,3.043417,3.394127,0.661159,155.708783
2004,3170,French Guiana,0.000291,0.216395,0.761937,228.338704
2005,3170,French Guiana,0,0.121285,1.11437,26.993942
